,ADVB,NOUN,NUMR,ADJ,NPRO,PRED,VERB,CONJ,INTJ,PREP,PRCL,PRTF,GRND
Навигационные огни,0.0,0.424,0.0,0.273,0.03,0.0,0.061,0.091,0.0,0.091,0.03,,
Нактоуз,0.028,0.404,0.0,0.22,0.0,0.0,0.138,0.064,0.0,0.128,0.018,,
Настольный теннис,0.014,0.476,0.01,0.171,0.0,0.0,0.105,0.071,0.0,0.143,0.01,,
Национальная библиотека Австралии,0.022,0.444,0.0,0.156,0.0,0.0,0.144,0.033,0.0,0.167,0.033,,
Национальная библиотека Испании,0.032,0.387,0.032,0.161,0.032,0.0,0.097,0.032,0.0,0.226,0.0,,
Национальная библиотека Франции,0.014,0.5,0.0,0.222,0.014,0.0,0.056,0.042,0.0,0.153,0.0,,
Национальная библиотека Чешской Республики,0.016,0.496,0.0,0.144,0.024,0.0,0.112,0.008,0.0,0.192,0.008,,
Неомавританский стиль,0.019,0.421,0.0,0.231,0.009,0.0,0.076,0.082,0.0,0.136,0.025,,
Непотопляемость,0.053,0.467,0.0,0.107,0.013,0.0,0.16,0.08,0.0,0.08,0.04,,
Ницца,0.0,0.559,0.0,0.294,0.0,0.0,0.0,0.059,0.0,0.088,0.0,,
Номадик,0.0,0.514,0.0,0.171,0.029,0.0,0.114,0.029,0.0,0.143,0.0,,
Норвегия,0.0,0.513,0.0,0.183,0.0,0.0,0.087,0.061,0.0,0.139,0.017,,
Нормативный контроль,0.044,0.385,0.0,0.214,0.016,0.0,0.132,0.088,0.0,0.082,0.022,0.016,
Ночь и лёд,0.0,0.667,0.0,0.133,0.0,0.0,0.133,0.067,0.0,0.0,0.0,,
Нью-Йорк,0.0,0.512,0.012,0.244,0.012,0.0,0.085,0.037,0.0,0.098,0.0,,
Овсяная каша,0.0,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.167,0.0,,
Окалина,0.032,0.35,0.009,0.175,0.018,0.0,0.12,0.083,0.0,0.194,0.018,,
Омар Хайям,0.031,0.531,0.0,0.172,0.016,0.0,0.062,0.094,0.0,0.062,0.031,,
Опиум,0.045,0.333,0.0,0.197,0.03,0.0,0.136,0.091,0.0,0.136,0.03,,
Орех,0.027,0.403,0.0,0.226,0.005,0.005,0.113,0.102,0.0,0.108,0.005,0.005,
Ореховые,0.029,0.486,0.057,0.171,0.0,0.029,0.057,0.057,0.0,0.114,0.0,,
Осадка,0.0,0.462,0.0,0.231,0.0,0.0,0.0,0.154,0.0,0.154,0.0,,
Острова Королевы Елизаветы,0.0,0.471,0.0,0.294,0.0,0.0,0.059,0.059,0.0,0.118,0.0,,
Палуба,0.023,0.442,0.012,0.174,0.012,0.0,0.093,0.081,0.0,0.128,0.035,,
Париж,0.009,0.521,0.009,0.162,0.0,0.0,0.103,0.06,0.0,0.128,0.009,,
Паровая машина,0.08,0.44,0.0,0.28,0.0,0.0,0.06,0.04,0.0,0.1,0.0,,
Паровая турбина,0.0,0.387,0.0,0.24,0.013,0.0,0.147,0.04,0.0,0.173,0.0,,
Паровой котёл,0.0,0.407,0.0,0.222,0.0,0.0,0.185,0.074,0.0,0.111,0.0,,
Пародия,0.049,0.494,0.0,0.222,0.0,0.0,0.074,0.049,0.0,0.086,0.025,,
Паросепаратор,0.0,0.45,0.0,0.15,0.0,0.0,0.2,0.05,0.0,0.1,0.05,,
Пароход,0.0,0.441,0.0,0.235,0.0,0.0,0.118,0.118,0.0,0.088,0.0,,
Парусина,0.008,0.441,0.0,0.186,0.008,0.0,0.11,0.068,0.0,0.161,0.017,,
Пассажирское судно,0.034,0.381,0.007,0.252,0.007,0.0,0.109,0.048,0.0,0.136,0.027,,
Пение,0.026,0.435,0.0,0.221,0.0,0.0,0.104,0.097,0.0,0.091,0.026,,
Пенсильвания,0.037,0.778,0.0,0.111,0.0,0.0,0.0,0.037,0.0,0.037,0.0,,
Первая мировая война,0.014,0.435,0.014,0.231,0.007,0.0,0.088,0.041,0.0,0.17,0.0,,
Переборка,0.0,0.435,0.0,0.229,0.008,0.0,0.061,0.046,0.0,0.198,0.023,,
Перелом кости,0.029,0.457,0.0,0.171,0.014,0.0,0.129,0.086,0.0,0.1,0.014,,
Пиво,0.036,0.491,0.0,0.2,0.0,0.0,0.109,0.036,0.0,0.127,0.0,,
Пикули,0.0,0.429,0.0,0.143,0.0,0.0,0.143,0.071,0.0,0.214,0.0,,
Пилястра,0.031,0.414,0.004,0.198,0.018,0.004,0.115,0.084,0.0,0.106,0.026,,
Плавательный бассейн,0.0,0.423,0.0,0.385,0.0,0.0,0.038,0.077,0.0,0.077,0.0,,
Платан,0.0,0.421,0.0,0.316,0.053,0.0,0.105,0.053,0.0,0.053,0.0,,
Поезд,0.012,0.326,0.0,0.198,0.047,0.0,0.174,0.093,0.0,0.128,0.023,,
Позолота,0.0,0.467,0.0,0.2,0.033,0.0,0.1,0.067,0.0,0.133,0.0,,
Покер,0.033,0.396,0.011,0.165,0.011,0.011,0.143,0.099,0.0,0.121,0.011,,
Полубак,0.026,0.462,0.0,0.218,0.0,0.0,0.064,0.064,0.0,0.167,0.0,,
Портальный кран,0.0,0.368,0.0,0.263,0.0,0.0,0.158,0.053,0.0,0.158,0.0,,
Поршень,0.0,0.451,0.0,0.255,0.0,0.0,0.078,0.059,0.0,0.137,0.02,,
Постоянный ток,0.032,0.341,0.0,0.252,0.011,0.006,0.115,0.074,0.0,0.129,0.04,,
Почта,0.0,0.461,0.0,0.263,0.0,0.0,0.092,0.092,0.0,0.079,0.013,,
Приливы,0.0,0.488,0.0,0.171,0.0,0.0,0.098,0.146,0.0,0.049,0.024,,0.024
Продовольствие,0.02,0.48,0.0,0.155,0.0,0.0,0.101,0.115,0.0,0.122,0.007,,
Промышленник,0.0,0.435,0.0,0.261,0.0,0.0,0.043,0.174,0.0,0.043,0.043,,
Рабочее тело,0.009,0.514,0.0,0.171,0.009,0.0,0.117,0.045,0.0,0.135,0.0,,
Радиотелеграф,0.056,0.426,0.0,0.259,0.0,0.0,0.056,0.037,0.0,0.167,0.0,,
Разрядник,0.051,0.449,0.0,0.141,0.013,0.0,0.128,0.026,0.0,0.192,0.0,,
Регистровая тонна,0.014,0.437,0.0,0.169,0.0,0.0,0.113,0.056,0.0,0.211,0.0,,
Редуцент,0.03,0.318,0.0,0.197,0.015,0.0,0.136,0.152,0.0,0.106,0.045,,
Ренессанс,0.009,0.491,0.0,0.152,0.018,0.0,0.116,0.08,0.0,0.116,0.018,,
Ржавчина,0.027,0.445,0.0,0.137,0.021,0.0,0.11,0.082,0.0,0.151,0.027,,
Ривьера,0.04,0.4,0.008,0.208,0.0,0.0,0.08,0.048,0.008,0.184,0.024,,
Ридерз Дайджест,0.069,0.293,0.0,0.19,0.034,0.0,0.172,0.069,0.0,0.172,0.0,,
Рим,0.043,0.447,0.021,0.17,0.011,0.0,0.117,0.053,0.0,0.128,0.011,,
Роберт Баллард,0.0,0.569,0.0,0.19,0.017,0.0,0.069,0.017,0.0,0.138,0.0,,
Российская империя,0.0,0.465,0.0,0.182,0.025,0.0,0.088,0.063,0.0,0.17,0.006,,
Ртуть,0.02,0.431,0.02,0.333,0.02,0.0,0.059,0.0,0.0,0.118,0.0,,
Рубаи,0.031,0.417,0.01,0.208,0.0,0.0,0.167,0.062,0.0,0.104,0.0,,
Рулевой,0.0,0.467,0.0,0.267,0.0,0.0,0.067,0.067,0.0,0.133,0.0,,
Румпель,0.062,0.5,0.0,0.25,0.062,0.0,0.062,0.0,0.0,0.062,0.0,,
Рыбий жир,0.0,0.395,0.0,0.289,0.0,0.0,0.079,0.053,0.0,0.184,0.0,,
Рыбы,0.028,0.389,0.0,0.231,0.009,0.009,0.111,0.056,0.009,0.157,0.0,,
Рябь,0.034,0.552,0.0,0.138,0.0,0.0,0.069,0.0,0.0,0.172,0.034,,
США,0.013,0.435,0.002,0.192,0.006,0.0,0.119,0.068,0.0,0.151,0.013,,
Санди-Хук,0.029,0.435,0.0,0.163,0.014,0.0,0.12,0.048,0.0,0.172,0.019,,
Санкт-Петербург,0.016,0.484,0.006,0.206,0.006,0.0,0.082,0.041,0.0,0.133,0.025,,
Сауна,0.025,0.4,0.006,0.225,0.006,0.013,0.094,0.1,0.0,0.113,0.019,,
Саундтрек,0.023,0.386,0.0,0.159,0.0,0.0,0.091,0.136,0.0,0.114,0.091,,
Саутгемптон,0.024,0.537,0.0,0.171,0.0,0.0,0.049,0.049,0.0,0.171,0.0,,
Сахар,0.0,0.349,0.0,0.209,0.07,0.0,0.14,0.07,0.0,0.14,0.023,,
Светская львица,0.067,0.356,0.0,0.244,0.0,0.0,0.156,0.067,0.0,0.111,0.0,,
Сгущённое молоко,0.143,0.429,0.0,0.143,0.0,0.0,0.143,0.0,0.0,0.143,0.0,,
Северная Америка,0.036,0.458,0.012,0.169,0.012,0.012,0.084,0.072,0.0,0.133,0.012,,
Северная Атлантика,0.03,0.414,0.0,0.293,0.0,0.0,0.071,0.051,0.0,0.141,0.0,,
Седловатость,0.023,0.442,0.012,0.174,0.012,0.0,0.093,0.081,0.0,0.128,0.035,,
Семинария,0.0,0.443,0.0,0.246,0.016,0.0,0.098,0.049,0.0,0.115,0.033,,
Сигара,0.029,0.412,0.0,0.176,0.015,0.015,0.103,0.059,0.0,0.176,0.015,,
Скакалка,0.017,0.407,0.0,0.186,0.017,0.0,0.119,0.119,0.0,0.136,0.0,,
Сквош,0.038,0.415,0.019,0.113,0.038,0.0,0.094,0.038,0.019,0.226,0.0,,
Скорость судна,0.014,0.395,0.0,0.25,0.003,0.006,0.111,0.062,0.0,0.148,0.011,,
Сливки,0.0,0.455,0.0,0.227,0.0,0.0,0.136,0.0,0.0,0.182,0.0,,
Сливочное масло,0.0,0.429,0.0,0.286,0.0,0.0,0.111,0.079,0.0,0.095,0.0,,
Сменная работа,0.015,0.431,0.0,0.215,0.0,0.0,0.077,0.077,0.0,0.154,0.031,,
Сначала женщины и дети,0.033,0.405,0.002,0.131,0.025,0.0,0.156,0.088,0.0,0.127,0.032,,
Сноб,0.038,0.404,0.0,0.115,0.058,0.0,0.154,0.096,0.0,0.115,0.019,,
Солонина,0.069,0.402,0.0,0.207,0.0,0.0,0.103,0.069,0.0,0.103,0.046,,
Солянка,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.067,0.0,0.133,0.0,,
Солярий,0.043,0.37,0.0,0.283,0.0,0.0,0.13,0.043,0.0,0.109,0.022,,
Сообщающиеся сосуды,0.042,0.417,0.0,0.167,0.0,0.0,0.167,0.042,0.0,0.167,0.0,,
Спасательная шлюпка,0.059,0.353,0.0,0.412,0.0,0.0,0.0,0.059,0.0,0.118,0.0,,
Спасательный круг,0.033,0.4,0.0,0.2,0.0,0.0,0.117,0.067,0.0,0.183,0.0,,
Спуск судов,0.05,0.45,0.0,0.15,0.0,0.0,0.1,0.05,0.0,0.2,0.0,,
Сталь,0.013,0.419,0.0,0.219,0.019,0.0,0.094,0.069,0.0,0.144,0.025,,
Строительные леса,0.048,0.277,0.0,0.277,0.036,0.0,0.12,0.12,0.0,0.108,0.012,,
Стюард,0.032,0.496,0.0,0.192,0.008,0.0,0.064,0.072,0.0,0.136,0.0,,
Судовой руль,0.0,0.367,0.0,0.367,0.0,0.0,0.067,0.033,0.0,0.167,0.0,,
Сухой док,0.036,0.408,0.0,0.168,0.015,0.0,0.143,0.066,0.0,0.163,0.0,,
Сыр,0.0,0.444,0.0,0.222,0.0,0.0,0.074,0.111,0.0,0.148,0.0,,
Сёмга,0.0,0.488,0.0,0.233,0.0,0.0,0.093,0.116,0.0,0.07,0.0,,
ТАСС,0.075,0.491,0.0,0.264,0.0,0.0,0.038,0.057,0.0,0.075,0.0,,
Танец,0.022,0.522,0.0,0.188,0.004,0.0,0.067,0.089,0.0,0.094,0.013,,
Тартар,0.052,0.422,0.004,0.129,0.02,0.0,0.133,0.064,0.008,0.145,0.024,,
Те-Солент,0.024,0.389,0.024,0.238,0.016,0.0,0.111,0.063,0.0,0.135,0.0,,
Телефон,0.0,0.562,0.0,0.125,0.0,0.0,0.062,0.062,0.0,0.188,0.0,,
Телефонный коммутатор,0.0,0.303,0.0,0.394,0.0,0.0,0.091,0.121,0.0,0.091,0.0,,
Теннис,0.035,0.388,0.035,0.141,0.012,0.0,0.106,0.094,0.0,0.165,0.024,,
Техническое задание,0.053,0.526,0.0,0.158,0.0,0.0,0.105,0.158,0.0,0.0,0.0,,
Титаник Белфаст,0.016,0.5,0.0,0.161,0.032,0.0,0.081,0.081,0.0,0.113,0.016,,
Титаник-Белфаст,0.016,0.5,0.0,0.161,0.032,0.0,0.081,0.081,0.0,0.113,0.016,,
Титаник. Легенда продолжается,0.0,0.467,0.0,0.233,0.0,0.0,0.033,0.033,0.0,0.233,0.0,,
Титаномахия,0.014,0.543,0.029,0.057,0.0,0.0,0.071,0.086,0.0,0.186,0.014,,
Титаны,0.0,0.438,0.062,0.125,0.062,0.0,0.062,0.125,0.031,0.094,0.0,,
Томас Харди,0.0,0.618,0.0,0.235,0.029,0.0,0.029,0.059,0.0,0.029,0.0,,
Томас Эндрюс,0.0,0.552,0.0,0.138,0.034,0.0,0.069,0.069,0.0,0.138,0.0,,
Томат,0.0,0.394,0.0,0.273,0.0,0.0,0.121,0.152,0.0,0.03,0.03,,
Тонзиллит острый,0.0,0.474,0.0,0.316,0.0,0.0,0.053,0.053,0.0,0.079,0.026,,
Тонна,0.007,0.49,0.0,0.215,0.0,0.007,0.081,0.074,0.0,0.128,0.0,,
Тоннаж,0.062,0.425,0.0,0.15,0.025,0.0,0.125,0.1,0.0,0.113,0.0,,
Трюм,0.031,0.45,0.0,0.178,0.016,0.0,0.109,0.078,0.0,0.124,0.016,,
Туалет,0.0,0.439,0.0,0.195,0.0,0.0,0.122,0.098,0.0,0.122,0.024,,
Туман,0.05,0.5,0.0,0.125,0.05,0.0,0.125,0.05,0.0,0.1,0.0,,
Турбоход,0.0,0.538,0.0,0.154,0.0,0.0,0.077,0.154,0.0,0.077,0.0,,
Уайт Стар Лайн,0.019,0.471,0.0,0.161,0.013,0.0,0.148,0.013,0.0,0.168,0.006,,
Убийство Авраама Линкольна,0.029,0.618,0.0,0.088,0.0,0.0,0.118,0.0,0.0,0.147,0.0,,
Убийство Джона Кеннеди,0.028,0.431,0.009,0.119,0.018,0.0,0.165,0.064,0.0,0.138,0.028,,
Углекислый газ,0.035,0.418,0.005,0.164,0.025,0.0,0.1,0.05,0.0,0.189,0.015,,
Устрицы,0.054,0.359,0.011,0.223,0.011,0.0,0.139,0.075,0.0,0.113,0.016,,
Феминизм,0.024,0.412,0.0,0.229,0.012,0.0,0.082,0.106,0.0,0.129,0.006,,
Фильм-катастрофа,0.0,0.414,0.0,0.138,0.0,0.0,0.138,0.207,0.0,0.103,0.0,,
Форпик,0.036,0.429,0.0,0.214,0.0,0.0,0.107,0.071,0.0,0.107,0.036,,
Форштевень,0.0,0.4,0.0,0.2,0.0,0.0,0.15,0.05,0.0,0.15,0.05,,
Франция,0.008,0.516,0.008,0.169,0.008,0.0,0.081,0.065,0.0,0.121,0.024,,
Фредерик Флит,0.0,0.464,0.0,0.143,0.0,0.0,0.214,0.071,0.0,0.107,0.0,,
Фуа-гра,0.022,0.511,0.0,0.111,0.0,0.0,0.156,0.044,0.0,0.156,0.0,,
Фунт стерлингов,0.023,0.534,0.0,0.182,0.0,0.0,0.091,0.068,0.0,0.091,0.011,,
Хаммам,0.0,0.647,0.0,0.235,0.0,0.0,0.0,0.059,0.0,0.059,0.0,,
Херувим,0.036,0.357,0.0,0.321,0.0,0.0,0.071,0.0,0.0,0.214,0.0,,
Хирургический инструмент,0.091,0.455,0.0,0.182,0.0,0.0,0.091,0.0,0.0,0.182,0.0,,
Цистерна,0.158,0.263,0.0,0.263,0.0,0.0,0.0,0.158,0.0,0.158,0.0,,
Чай,0.065,0.458,0.0,0.187,0.0,0.0,0.131,0.047,0.0,0.093,0.019,,
Человек,0.005,0.425,0.005,0.159,0.039,0.01,0.164,0.082,0.0,0.082,0.024,0.005,
Шампанское,0.048,0.46,0.011,0.169,0.005,0.0,0.111,0.053,0.0,0.116,0.026,,
Шаффлборд,0.053,0.404,0.035,0.158,0.0,0.0,0.105,0.07,0.0,0.175,0.0,,
Шахматы,0.028,0.434,0.014,0.182,0.007,0.0,0.098,0.07,0.0,0.147,0.021,,
Швартов,0.0,0.4,0.0,0.2,0.0,0.0,0.15,0.05,0.0,0.15,0.05,,
Швартовка,0.014,0.5,0.0,0.144,0.014,0.0,0.11,0.062,0.0,0.158,0.0,,
Швеция,0.01,0.57,0.0,0.18,0.0,0.0,0.09,0.02,0.0,0.12,0.01,,
Шербур-Октевиль,0.0,0.518,0.018,0.125,0.036,0.0,0.071,0.054,0.0,0.161,0.018,,
Школа,0.0,0.5,0.0,0.278,0.0,0.0,0.056,0.0,0.0,0.167,0.0,,
Шлюпбалка,0.0,0.456,0.013,0.165,0.025,0.0,0.114,0.089,0.0,0.114,0.025,,
Шлюпка,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.15,0.05,,
Шпангоут,0.0,0.516,0.0,0.29,0.0,0.0,0.0,0.097,0.0,0.032,0.065,,
Штаты США,0.024,0.427,0.012,0.183,0.012,0.0,0.098,0.073,0.0,0.134,0.037,,
Штормтрап,0.0,0.435,0.0,0.174,0.0,0.0,0.087,0.13,0.0,0.174,0.0,,
Штраус-парк,0.02,0.436,0.0,0.121,0.007,0.0,0.154,0.06,0.0,0.195,0.007,,
Экипаж,0.025,0.45,0.0,0.175,0.0,0.0,0.15,0.025,0.0,0.175,0.0,,
Эклер,0.0,0.5,0.0,0.158,0.0,0.0,0.105,0.026,0.0,0.211,0.0,,
Экономические отношения,0.051,0.386,0.0,0.222,0.017,0.017,0.108,0.102,0.0,0.074,0.023,,
Экспрессионизм,0.057,0.492,0.0,0.156,0.025,0.0,0.074,0.066,0.0,0.115,0.016,,
Электрический генератор,0.0,0.417,0.0,0.333,0.0,0.0,0.083,0.0,0.0,0.167,0.0,,
Электрический ток,0.015,0.567,0.0,0.149,0.0,0.0,0.075,0.06,0.0,0.119,0.015,,
Электрическое поле,0.012,0.394,0.006,0.267,0.012,0.0,0.109,0.048,0.0,0.133,0.018,,
Электрогенератор,0.0,0.417,0.0,0.333,0.0,0.0,0.083,0.0,0.0,0.167,0.0,,
Электролиз,0.0,0.486,0.0,0.165,0.0,0.0,0.165,0.037,0.0,0.147,0.0,,
Электронная лампа,0.077,0.375,0.0,0.163,0.0,0.0,0.125,0.077,0.0,0.144,0.038,,
Электроплита,0.0,0.429,0.0,0.286,0.0,0.0,0.143,0.0,0.0,0.143,0.0,,
Эллипс,0.053,0.447,0.0,0.158,0.0,0.0,0.105,0.158,0.0,0.079,0.0,,
Эмиграция,0.0,0.333,0.0,0.286,0.0,0.0,0.095,0.0,0.0,0.286,0.0,,
Ют,0.01,0.413,0.0,0.212,0.01,0.0,0.077,0.125,0.0,0.135,0.019,,
Яйца пищевые,0.013,0.474,0.0,0.167,0.013,0.0,0.115,0.026,0.0,0.179,0.013,,
Якорь,0.009,0.426,0.0,0.174,0.0,0.0,0.148,0.07,0.0,0.148,0.026,,
Япония,0.025,0.456,0.004,0.211,0.013,0.0,0.101,0.046,0.0,0.135,0.008,,
